x,prior,likelihood,posterior
0,0.004008883424060014,2.3379726876476618e-18,1.2673165830894902e-18
1,0.005269577848413443,2.020321437839497e-17,1.439522820092968e-17
2,0.006819340420756306,1.6400538419299531e-16,1.5122470073752974e-16
3,0.008688065086289458,1.2506976518315828e-15,1.4692566232700582e-15
4,0.010897274964033013,8.95989990338286e-15,1.3202109306399694e-14
5,0.013456338442150486,6.029906475625597e-14,1.0971341535570241e-13
6,0.016358747256503495,3.8121904535190247e-13,8.432316304227103e-13
7,0.01957885690552582,2.2640978773759293e-12,5.99383504683346e-12
8,0.02306953127989077,1.263200824679118e-11,3.940337557557554e-11
9,0.026761124463285275,6.620734895203517e-11,2.395702098057961e-10
10,0.03056216343061811,3.2598423016871907e-10,1.3471096333017972e-09
11,0.03436196399000239,1.5077994436865046e-09,7.005575438067079e-09
12,0.03803522692623786,6.5515967867790046e-09,3.369422175955511e-08
13,0.04144844039425534,2.6742828461930375e-08,1.4987796553223545e-07
14,0.04446768540370771,1.02547271830755e-07,6.165820712240366e-07
15,0.046967236114783,3.694004992188205e-07,2.3459283245101693e-06
16,0.04883819810277538,1.250050160054906e-06,8.254852719893403e-06
17,0.04999636259487327,3.973873123184678e-06,2.6864246448670105e-05
18,0.050388488926673684,1.1867442843746848e-05,8.085571844357355e-05
19,0.04999636259487327,3.3293303929595725e-05,0.00022506997433736914
20,0.04883819810277538,8.774315309642474e-05,0.0005794221937127957
21,0.046967236114783,0.00021723318682680305,0.0013795690235348834
22,0.04446768540370771,0.000505237647953354,0.003037823141210193
23,0.04144844039425534,0.0011038799135127215,0.006186603480058528
24,0.03803522692623786,0.0022657112023839023,0.011652331207300009
25,0.03436196399000239,0.004368615958431643,0.02029757258824124
26,0.03056216343061811,0.007912974728589307,0.03269987778071116
27,0.026761124463285275,0.013464563674288643,0.048721303532780626
28,0.02306953127989077,0.02152292959539681,0.06713707446711979
29,0.01957885690552582,0.03231968211270289,0.085561161151811
30,0.016358747256503495,0.0455920763114693,0.10084669512507877
31,0.013456338442150486,0.06041826589251633,0.10993030037417274
32,0.010897274964033013,0.07521487468070986,0.11082657258559056
33,0.008688065086289458,0.0879621449882467,0.10333349865313872
34,0.006819340420756306,0.09663723183449556,0.08910644328040929
35,0.005269577848413443,0.09973549463660046,0.07106370195040823
36,0.004008883424060014,0.09669668942570946,0.052415205141833385
37,0.003002514951608511,0.08807041849909283,0.03575505872892328
38,0.0022139156933550616,0.07535379155401892,0.022557369065128122
39,0.0016071304421475983,0.060567096367032267,0.013161643955357499
40,0.0011485643310464974,0.04573250525157622,0.007102358251909015
41,0.0008081159362302129,0.03243917696897039,0.0035445879368781225
42,0.0005597655490536788,0.02161579713861111,0.0016360617038077535
43,0.0003817269390121433,0.013530980859769835,0.0006984001861441145
44,0.0002562793431271792,0.00795689997061857,0.0002757272932700282
45,0.00016939030237212303,0.004395569102653807,0.00010067599074714265
46,0.00011022437198575534,0.0022810926251924774,3.399717340702821e-05
47,7.061238356079644e-05,0.0011120577056936715,1.061770004839909e-05
48,4.453467208009966e-05,0.0005092937211450268,3.066823890615272e-06
49,2.7652206715468187e-05,0.00021911187491753908,8.192528612308434e-07
50,1.6903454911378573e-05,8.85564305452332e-05,2.0240341674306732e-07
51,1.0172678353643641e-05,3.362256841228925e-05,4.624752073314859e-08
52,6.027112459809955e-06,1.1992183454660371e-05,9.773043135522513e-09
53,3.5155835679592043e-06,4.0181138344334e-06,1.9100376108908926e-09
54,2.0188297940286025e-06,1.2647445125894827e-06,3.4524290810708e-10
55,1.1413428795424263e-06,3.739727570954389e-07,5.771362547734636e-11
56,6.352529796111199e-07,1.0388042635716319e-07,8.922831486389033e-12
57,3.480899114515022e-07,2.710716351899938e-08,1.2758445682290084e-12
58,1.8778042209483945e-07,6.644939368794926e-09,1.6871884375250393e-13
59,9.972942936949421e-08,1.5302224333746096e-09,2.063479485252417e-14
